Text,Language
காஞ்சிபுரத்தைத் தலை நகரமாகக் கொண்டு தமிழ்நாட்டின் பெரும்பகுதியைத் தங்கள் கட்டுப்பாட்டுக்குள் வைத்திருந்தனர்,Tamil
স্বৰধ্বনিৰ সহায়ত ইয়াক উচ্চাৰণ কৰা হয়,Assamese
2013 മേയ് 23-നു ചേർന്ന കേന്ദ്രമന്ത്രിസഭായോഗമാണ് മലയാളത്തെ ശ്രേഷ്ഠഭാഷയായി അംഗീകരിച്ചത് ഇന്ത്യൻ ഭരണഘടനയിലെ എട്ടാം ഷെഡ്യൂളിൽ ഉൾപ്പെടുത്തിയിരിക്കുന്ന ഇന്ത്യയിലെ ഇരുപത്തിരണ്ട് ഔദ്യോഗിക ഭാഷകളിൽ ഒന്നാണ് മലയാളം[6],Malayalam
తెలుగు అజంత భాష,Telugu
अनेक लेखक व कवी यांना राजाश्रय होता,Marathi
"૨૦૧૧ની વસ્તી ગણતરી મુજબ, ભારતમાં વક્તાઓની સંખ્યા પ્રમાણે ગુજરાતી છઠ્ઠા ક્રમે સૌથી વધુ બોલાતી ભાષા છે",Gujarati
"Like Icelandic and Faroese, the development of English in the British Isles isolated it from the continental Germanic languages and influences, and it has since diverged considerably",English
"In modern English, the loss of grammatical case is almost complete (it is now only found in pronouns, such as he and him, she and her, who and whom), and SVO word order is mostly fixed",English
۱۸۵۷ بَغاوتہٕ پَتہٕ گٔیہِ تِم آگرٛا,Kashmiri
" కాబట్టి, తెలుగు భాష మాట్లాడేవారు, శాతవాహన వంశపు రాజుల ఆగమనానికి ముందుగా కృష్ణ, గోదావరి నదుల మధ్య భూభాగంలో నివాసం ఉండే వారై ఉంటారని నిర్ణయించవచ్చు",Telugu
ଓଡ଼ିଆଭାଷାର ମୂଳ ଉତ୍ସ ହେଉଛି ଗୁମ୍ଫାଲେଖ,Odia
کے,Kashmiri
" తెలుగులో ఒక వాక్యం పూర్ణవిరామం తో కానీ, దీర్ఘవిరామంతో కానీ ముగించబడుతుంది",Telugu
स,Marathi
५औं शताब्दी ईशापूर्व पछि कैयौँ स्वतन्त्र राज्य बने,Nepali
یێمؠسٕنٛز آبٲدی چھےٚ ۱.۳۵ اَرَب,Kashmiri
কিন্তু মাগধী প্ৰাকৃত সম্পৰ্কে বহু কেইজন ভাষাবিজ্ঞানী সহমতত উপনীত হৈছে,Assamese
त्याच़ा काळ शके ९८२(इ,Marathi
" त वर्गका पाँच अक्षर त, थ, द, ध, न (अर्ध न अनुनासिक वर्ण) दन्त्य उच्चारण",Nepali
एतेषां कीर्तिः अद्यापि जगति समुल्लसति,Sanskrit
سُہ اوس ۱۹۴۷ پؠٹھٕ ۱۹۵۰ تام ہِندوستانُک گۄڈنیُٛک نٲیِب ؤزیٖرِ اَعظَم,Kashmiri
பி,Tamil
सिम्ताल नेपाली भाषा,Nepali
"યુકેમાં 200,000 જેટલા ગુજરાતી બોલનારા લોકો છે, તેમાંના ઘણા લંડન વિસ્તારમાં, ખાસ કરીને ઉત્તર પશ્ચિમ લંડનમાં સ્થિત છે, અને એ ઉપરાંત બર્મિંગહામ, માન્ચેસ્ટર અને લિસેસ્ટર, કોવેન્ટ્રી, બ્રેડફોર્ડ અને લેન્કેશાયરમાં આવેલા ભૂતપૂર્વ મિલનાં શહેરોમાં પણ છે",Gujarati
" हिन्दी में ण का उच्चारण कभी-कभी ड़ँ की तरह होता है, यानी कि जीभ मुँह की छत को एक जोरदार ठोकर मारती है",Hindi
এই আন্দোলনে পাকিস্তান সরকারের নিকট বাংলা ভাষার সরকারি স্বীকৃতি দাবি করা হয়,Bengali
মনে রাখতে হবে যে এই কালসীমা অত্যন্ত আনুমানিক,Bengali
বাংলা বাংলাদেশের জাতীয় ভাষাও,Bengali
" Norse influence was strongest in the north-eastern varieties of Old English spoken in the Danelaw area around York, which was the centre of Norse colonisation; today these features are still particularly present in Scots and Northern English",English
" सङ्घीयेऽथ च राज्यीयेषु सर्वकारेषु कार्यकारिणी, विधायिका न्यायपालिका च शाखा वर्तते",Sanskrit
" By the 12th century Middle English was fully developed, integrating both Norse and French features; it continued to be spoken until the transition to early Modern English around 1500",English
અમેરિકામાં મૅસેચૂસેટ્સ બે કૉલની અમેરિકાની તેર કૉલનીઓમાં સર્વપ્રથમ એની કૉલની હતી જેણે બૅંકનોટો ચલણમાં મૂકવાનું સાહસ કર્યું હતું,Gujarati
राष्ट्रपिता महात्मागान्धी अहिंसामार्गेणैव स्वातन्त्र्यं प्रापयत,Sanskrit
تاہم، یہ معاشی و سیاسی لحاظ سے ایک دوسرے سے مختلف ہیں,Urdu
" ଏଭଳି ପରିସ୍ଥିତିରେ ଆଶା କରାଯାଏ ଯେ ଯେତେବେଳେ ଦଳ 10 ସେପ୍ଟେମ୍ବରରେ ସିରିଜର ଶେଷ ମ୍ୟାଚ୍ ଖେଳିବ, ସେତେବେଳେ ଏହି ମରୁଡ଼ି ଏକ ବିଜୟ ସହିତ ଶେଷ ହେବ ",Odia
हिंदु आनी क्रीस्तांव लोकांमोधें ओंतोर वाडलें आनी आनी थोड्या वेळांत त्यंची उलोंवचि रीत सोइत बोदोल्ली,Konkani
" বাংলা ভাষার ইতিহাসকে সাধারণত তিন ভাগে ভাগ করা হয়: প্রাচীন বাংলা (৯০০/১০০০ – ১৪০০ খ্রিস্টাব্দ) — চর্যাপদ, ভক্তিমূলক গান এই সময়কার লিখিত নিদর্শন",Bengali
ആദിദ്രാവിഡ ഭാഷയിൽ നിന്ന് പരിണമിച്ചു വന്നതാകാം മലയാളം,Malayalam
ਅੰਗਰੇਜ਼ੀ ਪਾਠ ਮੁਤਾਬਿਕ ਸਿਰਫ਼ ‘ਦਫ਼ਤਰੀ ਚਿੱਠੀ ਪੱਤਰ’ ਹੀ ਪੰਜਾਬੀ ਵਿੱਚ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ,Punjabi
درحقیقت، ماہرینِ لسانیات اِن دونوں زبانوں کو ایک ہی زبان کے حصّے سمجھتے ہیں,Urdu
تاہم، دیگر ماہرین اِن دونوں کو معاش اللسانی تفرّقات کی بنیاد پر الگ الگ سمجھتے ہیں,Urdu
ಈ ಎಫ್ ಪಿಒಗಳ ಮೂಲಕ ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ಮತ್ತು ರೈತರ ನಡುವೆ ತಡೆರಹಿತವಾದ ವ್ಯವಹಾರ ಸೌಲಭ್ಯ ವ್ಯವಸ್ಥೆಯನ್ನು ನಿರ್ಮಾಣ ಮಾಡಲು ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ಒತ್ತು ನೀಡುತ್ತಿದೆ,Kannada
" அத்துடன், பாண்டிய அரசிடமிருந்து, இலங்கையின் சில பகுதிகளையும் கைப்பற்றினான்",Tamil
યુકેમાં વિદ્યાર્થીઓ માટે જી,Gujarati
نِہروٗ اوس ۱۹۲۹-۱۹۳۰ تہٕ ۱۹۳۶-۱۹۳۷ ہِندوستٲنؠ قومی کانٛگرٛیس سُنٛد صَدٕر تہٕ کٔر ہِندوستٲنؠ جَنٛگہِ آزادی مَنٛز اَنٛگریٖزی حۆکوٗمَتھ خِلاف مَہاتما گانٛدھی سٟتؠ تٔحریٖک,Kashmiri
ಇದೀಗ ಶಾಹೀನ್ ಚಂಡಮಾರುತ ಅಪ್ಪಳಿಸಲು ಸಿದ್ಧವಾಗಿದೆ,Kannada
" தமிழ்நாட்டில் பல இயற்கை வளங்கள், தமிழர் கட்டிடக் கலை சாற்றும் கோவில்கள், மலைத்தலங்கள், கடலோர ஓய்விடங்கள், பல சமயத்தினரின் வழிபாட்டுத் தலங்கள் நிறைந்துள்ளன; எட்டு உலக பாரம்பரியக் களங்கள் தமிழ்நாட்டில் உள்ளன",Tamil
اردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںاردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیں,Urdu
இறுதிப் பல்லவ மன்னன் அபராசிதன் ஆவான்,Tamil
" இதன் ஆட்சிப்பகுதி எல்லைகளாக, மேற்கிலும் வடக்கிலும் கேரளா, கருநாடகம் மற்றும் ஆந்திர மாநிலங்கள் உள்ளன",Tamil
ગુજરાતીનો ઉદ્ભવ જૂની ગુજરાતી ભાષા (આશરે ઇ,Gujarati
கி,Tamil
पुर्तुगेज आयल्या उपरांत कोंकणींत साबार बदल जाले,Konkani
ಬಂಗಾಳಕೊಲ್ಲಿಯಲ್ಲಿ ಉಂಟಾಗಿರುವ ವಾಯುಭಾರ ಕುಸಿತದಿಂದ ರಾಜ್ಯದಲ್ಲಿ ಇನ್ನೂ 4 ದಿನ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆಯಿದೆ,Kannada
ଓଡ଼ିଆ ଭାଷା ଓଡ଼ିଶାର ପାଖାପାଖି ଅନେକ ରାଜ୍ୟରେ କୁହାଯାଏ,Odia
" कुडल संगम, ता",Marathi
भरत मुनि ने नाट्यशास्त्र में उन शब्दों को देशी कहा है जो संस्कृत के तत्सम एवं सद्भव रूपों से भिन्न हैं,Hindi
ಇದು ಈ ಸಮುದಾಯದಲ್ಲಿ ಸಾಕಷ್ಟು ವಿಶ್ವಾಸವನ್ನು ಮೂಡಿಸಿದೆ ಮತ್ತು ಈ ಉಪಕ್ರಮದಡಿ ಇನ್ನೂ ಹೆಚ್ಚು ಇಂತಹ ಕೃಷಿ ಉತ್ಪಾದಕ ಸಂಸ್ಥೆಗಳನ್ನು ತರಲಿದ್ದೇವೆ ಎಂಬ ವಿಶ್ವಾಸ ನಮಗಿದೆ'' ಎಂದು ತಿಳಿಸಿದರು,Kannada
পাকিস্তানের করাচী শহরের দ্বিতীয় সরকারি ভাষা রূপে বাংলাকে গ্রহণ করা হয়েছে,Bengali
कुछ विशेष ध्वनियाँ उर्दू में अरबी और फ़ारसी से ली गयी हैं और इसी प्रकार फ़ारसी और अरबी की कुछ विशेष व्याकरणिक संरचनाएँ भी प्रयोग की जाती हैं,Hindi
মাতৃভাষীর সংখ্যায় বাংলা ইন্দো-ইউরোপীয় ভাষা পরিবারের পঞ্চম[৯] ও মোট ব্যবহারকারীর সংখ্যা অনুসারে বাংলা বিশ্বের ষষ্ঠ বৃহত্তম ভাষা,Bengali
" यो नै पछि गएर सिन्धु घाँटीको सभ्यतामा विकसित भयो, जुन २६०० ई.पू. र १९०० ई.पू.को बीचमा विकसित अवस्थामा थियो",Nepali
11వ శతాబ్దములో నన్నయ భట్టారకుని కాలమునాటికి తెలుగు రూపాంతరముగా తెనుగు అనే పదము వచ్చింది,Telugu
" ଜଳ ସମ୍ପଦ, ସୀମା ବିବାଦ, ଶକ୍ତି ସହ ନକ୍ସଲ ପ୍ରସଙ୍ଗରେ ଆଲୋଚନା ହୋଇ ମାତ୍ର କେଇ ମିନିଟ୍ ମଧ୍ୟରେ ଏହି ଆଲୋଚନା ଶେଷ ହୋଇଛି ",Odia
" ദേശനാമം തന്നെ ഭാഷാനാമമായി പരിണമിച്ചതോടെ, പഴയ മലയാളം ഭാഷ എന്നു സൂചിപ്പിക്കുവാൻ മലയാണ്മ എന്ന വാക്ക് ഉപയോഗിക്കാറുണ്ട്",Malayalam
राजा केसिदेवरायच्या कारकिर्दीत कोरलेला अक्षी शिलालेख हा आजवर सापडलेला मराठी भाषेतील पुराणतम शिलालेख आहे संदर्भ हवा,Marathi
১৯৮৭ সালের বাংলা ভাষা প্রচলন আইন বাংলাদেশের সকল রাষ্ট্রীয় কাজে বাংলার ব্যবহার বাধ্যতামূলক করা হয়েছে,Bengali
" ਪੰਜਾਬੀ ਦੇ ਕਈ ਰੂਪ ਹਨ, ਜਿਵੇਂ ਕਿ ਪੱਛਮੀ ਪੰਜਾਬ ਵਿੱਚ ਲਹਿੰਦਾ ਅਤੇ ਪੂਰਬੀ ਪੰਜਾਬ ਵਿੱਚ ਸਰਾਇਕੀ, ਹਿੰਦਕੋ, ਮਾਝੀ, ਪੋਠੋਹਾਰੀ, ਪਰ ਇਹ ਪੰਜਾਬੀ ਦੇ ਸਾਹਮਣੇ ਨਿਗੂਣੇ ਜਿਹੇ ਹੀ ਹਨ",Punjabi
यस सभ्यताको स्रोत वेद र पुराण हुन्,Nepali
" ત્યારબાદ વર્ષ ૧૮૧૬માં અમેરિકાની કૉંગ્રેસે દેશની બીજી મધ્યસ્થ બૅંકને બૅંકનોટો બહાર પાડવાની સત્તા આપી, જે કામ તેમણે ૧૮૪૧ સુધી ચાલુ રાખ્યું",Gujarati
اِسلام چھہ اکھہ توحیٖدؠ تہَٕ اِبَراہیٖمؠ مَزہَب,Kashmiri
भारतस्य मध्ये आरावली -विन्ध्य -सात्पुरप्रमुखाः पर्वतश्रेण्यः सन्ति,Sanskrit
"తెలుగు లిపిని బౌద్ధులు, వర్తకులు ఆగ్నేయ ఆసియా ప్రాంతాలకు అందచేసారు",Telugu
আহোম ৰাজ্যতো বুৰঞ্জী লিখিবৰ বাবে অসমীয়া ভাষা আৰু লিপিৰ ব্যৱহাৰ কৰা হৈছিল,Assamese
आनीक एक भायल्यांची जात आसा सिद्दि,Konkani
जनसंख्यादृष्ट्या एषः विश्वे द्वितीये स्थाने विद्यते,Sanskrit
" সংস্কৃতত পুৰুষ তিনিটা, অসমীয়াত পুৰুষ চাৰিটা",Assamese
थोद्या लोकान वहें सांग्लां कि कोंक्णी एक वेग्ळि भास न्होइ पोण मोराठिचें एक बोलि आसा,Konkani
" ट वर्गका पाँच अक्षर ट, ठ, ड, ढ, ण(अर्ध णअनुनासिक वर्ण) मुर्धन्य उच्चारण",Nepali
२०% आनी ४४,Konkani
আহোম ৰাজ্যতো বুৰঞ্জী লিখিবৰ বাবে অসমীয়া ভাষা আৰু লিপিৰ ব্যৱহাৰ কৰা হৈছিল,Assamese
توشہ خانی فاروق عبدالله کٲشُر تَلَفُّظ چھُ اَکھ ہِندوستٲنؠ سِیاسَت دان یُس چھُ جۆم تہٕ کٔشیٖر قومی کانفرینس سُنٛد صَدٕر,Kashmiri
ہِندوستان شُمٲلی دیصی پروتراج: حیمالے: چھُ جٔنوٗبی سینڈٗ محاساگر: ہِندوستان پؠٹھ نیپال، تِبَت (چیٖن) مٕلٕک؛ پصچیمع پٲکِستان، پٗروع چھُ برٛما تہٕ جٔنوٗبی سِری لنٛکا مٕلٕک,Kashmiri
ના લંડનમાં ગુજરાતી ચોથા ક્રમે સૌથી વધુ બોલાતી ભાષા છે,Gujarati
" શબ્દનો અંતિમ ə (અ) દૂર થવો એ મોટો ધ્વનિશાસ્ત્રીય ફેરફાર હતો, જેથી આધુનિક ગુજરાતીમાં વ્યંજનાન્ત શબ્દો છે",Gujarati
स,Marathi
" [8] മല എന്ന പദവും ആൾ, ആളുക എന്ന നപുംസകപദവും ചേർന്നും സന്ധിനിയമമനുസരിച്ച് വിടവടക്കാൻ 'യ'കാരം ചേർന്നുമാണ് മലയാളം ഉണ്ടായതെന്ന് കരുതുന്നു",Malayalam
Modern English has been spreading around the world since the 17th century by the worldwide influence of the British Empire and the United States,English
અમેરિકાના ક્રાંતિયુદ્ધ દરમિયાન યુદ્ધની નાણાકીય જરૂરિયાતો પૂરી કરવાના હેતુથી કૉન્ટિનેન્ટલ કૉંગ્રેસ દ્વારા કૉન્ટિનેન્ટલ બૅંકનોટો ફરતી કરવામાં આવી,Gujarati
کول; محی الدین حاجنی; پی,Kashmiri
ગુજરાતી ભાષાને પ્રચલિત રીતે નીચેના ત્રણ ઐતિહાસિક તબક્કાઓમાં વહેંચવામાં આવે છે,Gujarati
മലയാളത്തിൽ ആ പഴമ ഇന്നും സജീവമാണു്,Malayalam
हा लेख एका ओबडधोबड शिळेवर कोरला असून त्या शिळेचा माथ्यावर चंद्रसूर्य आणि मजकुराखाली गद्धेगाळ(?) व शेवटी पुन्हा चंद्रसूर्य असे कोरीवकामाचे स्वरूप आहे,Marathi
એ સિવાય એ અમેરિકા અને કેનેડાના મોટાભાગના મહાનગર વિસ્તારોમાં પણ અસ્તિત્વમાં છે,Gujarati
યુરોપના દેશોમાં ચૌદમી સદીમાં વિનિમયના માધ્યમ તરીકે બૅંક-નોટ દાખલ કરવામાં આવી અને સત્તરમી સદીમાં તો તેનો વ્યવસ્થિત રીતે વ્યવહાર થવા લાગ્યો,Gujarati
" 2021-22ನೇ ಸಾಲಿನ ಚಿಕ್ಕಬಳ್ಳಾಪುರ ತೋಟಗಾರಿಕೆ ಇಲಾಖೆಯಲ್ಲಿ ಅನುಷ್ಠಾನಗೊಳಿಸುತ್ತಿರುವ ತೋಟಗಾರಿಕೆ ಇಲಾಖೆಯ ವಿವಿಧ ಯೋಜನೆಗಳಡಿ ಹಣ್ಣುಗಳು, ತರಕಾರಿ, ಹೂವು ಬೆಳೆಗಳ ಹೊಸತೋಟ ಪ್ರದೇಶ ವಿಸ್ತರಣೆ, ಪುನಸ್ಛೇತನ, ಸಂರಕ್ಷಿತ ಬೇಸಾಯದಡಿ ಪಾಲಿಹೌಸ್, ಹೊದಿಕೆ, ಯಾಂತ್ರೀಕರಣ, ನೀರು ಸಂಗ್ರಹಣ ಘಟಕಗಳಿಗೆ, ಕೋಯ್ಲೋತ್ತರ ನಿರ್ವಹಣೆ ಘಟಕಗಳಾದ ಪ್ಯಾಕ್ ಹೌಸ್, ಇತರೆ ಯೋಜನೆಗಳಡಿಯಲ್ಲಿ ಜೇನು ಕೃಷಿ ಕಾರ್ಯಕ್ರಮದಡಿಯಲ್ಲಿ ಸಹಾಯಧನ ನೀಡಲು ಅರ್ಜಿ ಆಹ್ವಾನಿಸಲಾಗಿದೆ",Kannada
খৃষ্টীয় পঞ্চম শতিকাৰ পৰা দ্বাদশ শতিকালৈকে প্ৰাচীন কামৰূপ ৰাজ্যত ৰাজত্ব কৰা হিন্দু ৰজাসকলৰ তাম্ৰফলিসমূহতেই প্ৰাচীন অসমীয়া লিখিত সাহিত্যৰ নিদৰ্শন পোৱা যায়,Assamese
" ये देशी शब्द जनभाषा के प्रचलित शब्द थे, जो स्वभावतः अप्रभंश में भी चले आए थे",Hindi
1325–1625വരെ) അധുനികഘട്ടം – യൗവനാവസ്ഥ: മലയാള കാലം (കൊല്ലവർഷം 800 മുതൽ; എ,Malayalam
ಅರ್ಬಾನಿಕ್ ಜೊತೆಗಿನ ಈ ಪಾಲುದಾರಿಕೆಯು ಫ್ಲಿಪ್‌ಕಾರ್ಟ್‌ಗಾಗಿ ಈ ಋತುವಿನಲ್ಲಿ ಹಲವಾರು ರೋಮಾಂಚನಕಾರಿ ಅನುಭವವನ್ನು ನೀಡುತ್ತದೆ,Kannada
राष्ट्रस्य शासनाधिकारः राष्ट्रपतौ न्यस्तः,Sanskrit
" ಇತ್ತೀಚೆಗೆ, ಈ ಉಪಕ್ರಮದಡಿ ರಾಜಸ್ಥಾನದ ಬರನ್ ನಲ್ಲಿರುವ ಹಡೊಟಿ ಮಹಿಳಾ ಕಿಸಾನ್ ಪ್ರೊಡ್ಯೂಸರ್ ಕಂಪನಿ ಲಿಮಿಟಿಎಡ್ (ಎಚ್ಎಂಕೆಪಿಸಿಎಲ್) ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ನಲ್ಲಿ ತನ್ನ `ಹೋಲ್ ಕಾರಿಯೆಂಡರ್' ನ ಮೊದಲ ವ್ಯವಹಾರವನ್ನು ನಡೆಸಿದೆ",Kannada
સ,Gujarati
" ਸ਼ਬਦ ਦੀ ਅੰਤਲੀ ਸਥਿਤੀ ਵਿੱਚ /ਘ,ਝ,ਢ,ਧ,ਭ/ ਕ੍ਰਮਪੂਰਵਕ /ਗ, ਜ, ਡ, ਬ, ਦ/ ਵਿੱਚ ਤਬਦੀਲ ਹੋ ਕੇ ਨਾਲ ਲੱਗਦੇ ਅਗਲੇ ਸ੍ਵਰ ਉੱਤੇ ਉੱਚੀ ਸ੍ਵਰ ਸਹਿਤ ਉੱਚਾਰੀਆਂ ਜਾਂਦੀਆਂ ਹਨ",Punjabi
ତେବେ କେବଳ ଭାରତ ଏବଂ ଆଫଗାନିସ୍ତାନ ଏହି ରେସରେ ରହିବେ,Odia
" १२औं शताब्दीको प्रारम्भमा, भारतमा इस्लामी आक्रमण पश्चात, उत्तरी तथा मध्य भारतका अधिकांश भाग दिल्ली सल्तनतको शासन अधीन भयो र पछि, अधिकांश उपमहाद्वीप मुगल वंशको अधीनमा गयो",Nepali
বেণীমাধৱ বৰুৱাই এই কথিত ভাষাটোক কামৰূপী প্ৰাকৃত নাম দিছে,Assamese
ಇದರ ಮೂಲಕ ಲಕ್ಷಾಂತರ ವ್ಯಕ್ತಿಗಳು/ಕುಟುಂಬಗಳ ಜೀವನ ಮತ್ತು ಜೀವನೋಪಾಯವನ್ನು ಸುಧಾರಣೆ ಮಾಡುವ ಉದ್ದೇಶವನ್ನು ಹೊಂದಿದೆ,Kannada
తెలుగును సాధారణంగా ఒకపదముతో మరొకటి కలిసి చేరిపోయే భాషగా గుర్తిస్తారు,Telugu
" যেমন—কাহ্ন > কান, আহ্মি > আমি",Bengali
कोंकणी भाशेची प्रगती गोंयांत जाली,Konkani
ગુજરાતી વંશના લોકો દ્વારા દક્ષિણ એશિયાની બહાર પણ વિશ્વનાં અનેક દેશોમાં ગુજરાતી બોલાય છે,Gujarati
પરંપરાગત રીતે ૩ ઐતિહાસિક તબક્કાઓ પ્રમાણે ઈન્ડો-આર્યન ભાષાઓ વચ્ચે ભેદ કરાય છે,Gujarati
"First, the waves of Norse colonisation of northern parts of the British Isles in the 8th and 9th centuries put Old English into intense contact with Old Norse, a North Germanic language",English
मराठी और वैदिक संस्कृत में सभी का प्रयोग किया जाता है,Hindi
అచ్చుల ధ్వని వాటిలో లేనప్పుడు హల్లులు పరిశుద్ధమైనవిగా పరిగణించబడతాయి,Telugu
" ख्रिस्तपूर्व ५०० अवधौ,१६ महाजनपदाः उभयताः",Sanskrit
" ਇਸ ਸੋਧ ਕਾਨੂੰਨ ਦੇ ਅੰਗਰੇਜ਼ੀ ਅਤੇ ਪੰਜਾਬੀ, ਦੋਵੇਂ ਪਾਠ ਇੱਕੋ ਸਮੇਂ ਸਰਕਾਰੀ ਗਜ਼ਟ ਵਿੱਚ ਛਪੇ",Punjabi
" English is not mutually intelligible with any continental Germanic language, differing in vocabulary, syntax, and phonology, although some of these, such as Dutch or Frisian, do show strong affinities with English, especially with its earlier stages",English
" हिन्द महासागरमा यसको दक्षिण-पश्चिममा मालद्वीप, दक्षिणमा श्रीलङ्का र दक्षिण-पूर्वमा इन्डोनेसिया छन्",Nepali
مہاراشٹر میں جائیں تو مراٹھی اوراردو کی بولیاں جن کو شناخت کیا گیا ہے وہ یہ ہیںلاطینی جیسی قدیم زبانوں کی طرح اردو صرف و نحو میں فقرے کی ساخت فاعل-مفعول-فعل انداز میں ہوتی ہے,Urdu
वोर्स १९९२ इस्विंत कोंकणी भास भारोत सोंविधानच्या ८व्या भागांत आडलें गेलें आनी ताका राष्ट्रभास चो दोर्जो मेळ्लो,Konkani
नेपालका करिब आधा जनसङ्ख्याले आफ्नो मातृभाषाको रूपमा यो भाषा बोल्ने गर्दछन्,Nepali
ಇದಕ್ಕಾಗಿ ನೀವು ಯಾವುದೇ ಕರೆ ಶುಲ್ಕ ಪಾವತಿಸುವ ಅವಶ್ಯಕತೆಯಿಲ್ಲ,Kannada
மு,Tamil
ಈ ಪಾಲುದಾರಿಕೆಗಳ ಮೂಲಕ ಫ್ಲಿಪ್ ಕಾರ್ಟ್ ಧಾನ್ಯಗಳು,Kannada
